"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
1.166274875E1;2.051437531E2;3.399750061E2;1.140375061E2;4.131240939E2
1.167274875E1;2.051812592E2;3.400500183E2;1.137750015E2;4.131320794E2
1.168274875E1;2.051250153E2;3.397687683E2;1.137000046E2;4.128520060E2
1.169274875E1;2.050312653E2;3.396750183E2;1.139250031E2;4.127903150E2
1.170274875E1;2.049375153E2;3.396937561E2;1.137375031E2;4.127074662E2
1.171274875E1;2.050687561E2;3.397875061E2;1.136062546E2;4.128136688E2
1.172274875E1;2.050312653E2;3.399000244E2;1.135875015E2;4.128825097E2
1.173274875E1;2.050312653E2;3.400125122E2;1.135312576E2;4.129596526E2
1.174274875E1;2.052375031E2;3.401250000E2;1.136437531E2;4.131856131E2
1.175274875E1;2.052375031E2;3.401437683E2;1.139250031E2;4.132785043E2
1.176274875E1;2.052000122E2;3.401437683E2;1.139250031E2;4.132598873E2
1.177274875E1;2.052187653E2;3.403312683E2;1.135875015E2;4.133306598E2
1.178274875E1;2.053312531E2;3.404250183E2;1.138312531E2;4.135307374E2
1.179274875E1;2.052187653E2;3.403687744E2;1.139437561E2;4.134595794E2
1.180274875E1;2.055375061E2;3.403875122E2;1.140750046E2;4.136694714E2
1.181274875E1;2.057062531E2;3.403312683E2;1.143000031E2;4.137691693E2
1.182274875E1;2.055000153E2;3.403125000E2;1.142625046E2;4.136408755E2
1.183274875E1;2.052562561E2;3.403312683E2;1.142250061E2;4.135249145E2
1.184274875E1;2.053125153E2;3.403687744E2;1.141875076E2;4.135733531E2
1.185274875E1;2.053687592E2;3.402562561E2;1.143000031E2;4.135397656E2
1.186274875E1;2.053500061E2;3.401625061E2;1.141500015E2;4.134118750E2
1.187274875E1;2.054625092E2;3.399375000E2;1.140375061E2;4.132516175E2
1.188274875E1;2.052562561E2;3.399937744E2;1.138125076E2;4.131333734E2
1.189274875E1;2.052937622E2;3.399937744E2;1.136812515E2;4.131158704E2
1.190274875E1;2.052937622E2;3.399000244E2;1.136250076E2;4.130232412E2
1.191274875E1;2.053125153E2;3.398625183E2;1.137375031E2;4.130326620E2
1.192274875E1;2.052937622E2;3.400125122E2;1.137187576E2;4.131416139E2
1.193274875E1;2.054437561E2;3.402000122E2;1.135875015E2;4.133343752E2
1.194274875E1;2.052750092E2;3.403312683E2;1.134562531E2;4.133225410E2
1.195274875E1;2.052937622E2;3.405562744E2;1.134375076E2;4.135119986E2
1.196274875E1;2.051625061E2;3.404437561E2;1.137375031E2;4.134366029E2
1.197274875E1;2.050125122E2;3.403875122E2;1.136437531E2;4.132900812E2
1.198274875E1;2.050875092E2;3.403687744E2;1.136250076E2;4.133067038E2
1.199274875E1;2.051812592E2;3.405562744E2;1.134000015E2;4.134458677E2
1.200274875E1;2.051812592E2;3.404250183E2;1.134562531E2;4.133531947E2
1.201274875E1;2.048437653E2;3.404625244E2;1.133812561E2;4.131960890E2
1.202274875E1;2.049562531E2;3.405375061E2;1.134375076E2;4.133290782E2
1.203274875E1;2.048250122E2;3.404437561E2;1.134375076E2;4.131867675E2
1.204274875E1;2.050312653E2;3.404062500E2;1.134375076E2;4.132581553E2
1.205274875E1;2.051062622E2;3.404062500E2;1.136625061E2;4.133571811E2
1.206274875E1;2.051062622E2;3.402562561E2;1.137000046E2;4.132439832E2
1.207274875E1;2.053125153E2;3.401812744E2;1.139062576E2;4.133414616E2
1.208274875E1;2.052000122E2;3.402000122E2;1.136437531E2;4.132287453E2
1.209274875E1;2.053125153E2;3.402000122E2;1.138312531E2;4.133362208E2
1.210274875E1;2.052750092E2;3.400687561E2;1.138312531E2;4.132095624E2
1.211274875E1;2.052937622E2;3.401250000E2;1.140375061E2;4.133220261E2
1.212274875E1;2.052000122E2;3.401062622E2;1.139437561E2;4.132341880E2
1.213274875E1;2.052000122E2;3.400125122E2;1.136250076E2;4.130692385E2
1.214274875E1;2.052937622E2;3.402937622E2;1.138125076E2;4.133989118E2
1.215274875E1;2.051437531E2;3.401812744E2;1.136812515E2;4.131956992E2
1.216274875E1;2.051625061E2;3.399750061E2;1.138875046E2;4.130920265E2
1.217274875E1;2.053125153E2;3.397500000E2;1.137937546E2;4.129555787E2
1.218274875E1;2.053125153E2;3.396937561E2;1.138875046E2;4.129351530E2
1.219274875E1;2.054062653E2;3.397500000E2;1.135687561E2;4.129402604E2
1.220274875E1;2.053500061E2;3.396375122E2;1.134937515E2;4.127990992E2
1.221274875E1;2.054625092E2;3.399000244E2;1.135125046E2;4.130762133E2
1.222274875E1;2.053500061E2;3.397875061E2;1.133812561E2;4.128916123E2
1.223274875E1;2.052937622E2;3.399000244E2;1.134000015E2;4.129613974E2
1.224274875E1;2.052562561E2;3.399937744E2;1.134937515E2;4.130456742E2
1.225274875E1;2.050500031E2;3.400875244E2;1.136062546E2;4.130513395E2
1.226274875E1;2.049187622E2;3.400875244E2;1.134750061E2;4.129501185E2
1.227274875E1;2.049375153E2;3.397875061E2;1.136812515E2;4.127691382E2
1.228274875E1;2.048437653E2;3.400312500E2;1.136437531E2;4.129129712E2
1.229274875E1;2.048062592E2;3.397875061E2;1.136437531E2;4.126936584E2
1.230274875E1;2.049000092E2;3.396750183E2;1.136437531E2;4.126475911E2
1.231274875E1;2.049937592E2;3.396375122E2;1.137937546E2;4.127046154E2
1.232274875E1;2.050875092E2;3.395437622E2;1.137937546E2;4.126740499E2
1.233274875E1;2.051250153E2;3.396750183E2;1.137000046E2;4.127748551E2
1.234274875E1;2.052750092E2;3.396000061E2;1.136812515E2;4.127825341E2
1.235274875E1;2.051250153E2;3.395625000E2;1.136062546E2;4.126564484E2
1.236274875E1;2.052375031E2;3.394875183E2;1.138125076E2;4.127075171E2
1.237274875E1;2.052187653E2;3.396750183E2;1.139062576E2;4.128783056E2
1.238274875E1;2.052000122E2;3.399187622E2;1.139625015E2;4.130850538E2
1.239274875E1;2.051437531E2;3.399000244E2;1.138500061E2;4.130106656E2
1.240274875E1;2.050687561E2;3.399937744E2;1.137562561E2;4.130247537E2
1.241274875E1;2.049375153E2;3.399375000E2;1.140375061E2;4.129908496E2
1.242274875E1;2.050312653E2;3.401812744E2;1.141687546E2;4.132742718E2
1.243274875E1;2.050500031E2;3.405375061E2;1.143375015E2;4.136234532E2
1.244274875E1;2.049375153E2;3.406500244E2;1.143000031E2;4.136499909E2
1.245274875E1;2.048812561E2;3.406312561E2;1.141687546E2;4.135704127E2
1.246274875E1;2.049375153E2;3.405375061E2;1.140562515E2;4.134900322E2
1.247274875E1;2.049750061E2;3.403500061E2;1.139625015E2;4.133283580E2
1.248274875E1;2.051625061E2;3.403500061E2;1.138687515E2;4.133955408E2
1.249274875E1;2.054062653E2;3.404812622E2;1.136250076E2;4.135575729E2
1.250274875E1;2.053687592E2;3.402937622E2;1.135312576E2;4.133588251E2
1.251274875E1;2.052000122E2;3.402750244E2;1.134562531E2;4.132389849E2
1.252274875E1;2.053312531E2;3.401625061E2;1.135500031E2;4.132372893E2
1.253274875E1;2.053125153E2;3.400875244E2;1.137375031E2;4.132178273E2
1.254274875E1;2.052187653E2;3.402000122E2;1.137187576E2;4.132586911E2
1.255274875E1;2.051812592E2;3.403500061E2;1.138500061E2;4.133996851E2
1.256274875E1;2.051250153E2;3.403500061E2;1.138125076E2;4.133614465E2
1.257274875E1;2.051625061E2;3.403312683E2;1.137562561E2;4.133491404E2
1.258274875E1;2.050687561E2;3.403500061E2;1.136812515E2;4.132974091E2
1.259274875E1;2.053500061E2;3.402937622E2;1.135500031E2;4.133546574E2
1.260274875E1;2.054625092E2;3.401812744E2;1.134750061E2;4.132973737E2
1.261274875E1;2.054062653E2;3.402562561E2;1.133062515E2;4.132848416E2
1.262274875E1;2.053687592E2;3.400875244E2;1.133625031E2;4.131427218E2
1.263274875E1;2.052562561E2;3.402000122E2;1.132875061E2;4.131588532E2
1.264274875E1;2.051062622E2;3.402750244E2;1.132125015E2;4.131255760E2
1.265274875E1;2.049187622E2;3.401812744E2;1.132875061E2;4.129758560E2
1.266274875E1;2.049562531E2;3.403312683E2;1.131937561E2;4.130923193E2
1.267274875E1;2.048250122E2;3.403312683E2;1.131937561E2;4.130272197E2
1.268274875E1;2.048437653E2;3.402937622E2;1.130062561E2;4.129542671E2
1.269274875E1;2.048812561E2;3.402000122E2;1.130062561E2;4.128956180E2
1.270274875E1;2.048250122E2;3.402937622E2;1.131000061E2;4.129706304E2
1.271274875E1;2.050125122E2;3.401062622E2;1.131000061E2;4.129092045E2
1.272274875E1;2.051062622E2;3.400125122E2;1.133062515E2;4.129350965E2
1.273274875E1;2.052000122E2;3.400312500E2;1.132500076E2;4.129816706E2
1.274274875E1;2.052000122E2;3.401437683E2;1.132500076E2;4.130743182E2
1.275274875E1;2.051812592E2;3.401250000E2;1.132687531E2;4.130546878E2
1.276274875E1;2.050312653E2;3.403312683E2;1.132312546E2;4.131398177E2
1.277274875E1;2.050125122E2;3.403500061E2;1.135875015E2;4.132437263E2
1.278274875E1;2.050687561E2;3.403125000E2;1.134750061E2;4.132098370E2
1.279274875E1;2.049375153E2;3.404062500E2;1.135687561E2;4.132477012E2
1.280274875E1;2.048625031E2;3.403875122E2;1.136812515E2;4.132260042E2
1.281274875E1;2.048250122E2;3.405375061E2;1.137937546E2;4.133619446E2
1.282274875E1;2.047875061E2;3.402562561E2;1.141687546E2;4.132151340E2
1.283274875E1;2.048062592E2;3.403312683E2;1.140937576E2;4.132654855E2
1.284274875E1;2.048250122E2;3.401250000E2;1.142250061E2;4.131412026E2
1.285274875E1;2.050125122E2;3.400875244E2;1.139625015E2;4.131308584E2
1.286274875E1;2.049187622E2;3.398625183E2;1.140000076E2;4.129094722E2
1.287274875E1;2.049375153E2;3.398062744E2;1.139250031E2;4.128517841E2
1.288274875E1;2.049750061E2;3.398437500E2;1.137000046E2;4.128392164E2
1.289274875E1;2.049750061E2;3.397875061E2;1.137937546E2;4.128187508E2
1.290274875E1;2.051437531E2;3.398812561E2;1.136062546E2;4.129280915E2
1.291274875E1;2.052000122E2;3.397687683E2;1.137000046E2;4.128892733E2
1.292274875E1;2.054250031E2;3.399000244E2;1.138312531E2;4.131452682E2
1.293274875E1;2.054437561E2;3.397312622E2;1.137937546E2;4.130054310E2
1.294274875E1;2.055187531E2;3.397500000E2;1.137750015E2;4.130529885E2
1.295274875E1;2.054625092E2;3.396937561E2;1.139062576E2;4.130149224E2
1.296274875E1;2.054812622E2;3.398250122E2;1.139250031E2;4.131373795E2
1.297274875E1;2.055562592E2;3.398812561E2;1.137750015E2;4.131796158E2
1.298274875E1;2.052562561E2;3.399000244E2;1.137187576E2;4.130304022E2
1.299274875E1;2.054625092E2;3.400125122E2;1.137937546E2;4.132461370E2
1.300274875E1;2.051812592E2;3.398250122E2;1.135125046E2;4.128746501E2
1.301274875E1;2.049000092E2;3.400875244E2;1.135687561E2;4.129665851E2
1.302274875E1;2.051250153E2;3.401437683E2;1.135687561E2;4.131245785E2
1.303274875E1;2.052937622E2;3.404062500E2;1.134187546E2;4.133833061E2
1.304274875E1;2.055562592E2;3.402750244E2;1.134937515E2;4.134262928E2
1.305274875E1;2.056312561E2;3.399750061E2;1.136062546E2;4.132476247E2
1.306274875E1;2.057812653E2;3.397875061E2;1.137937546E2;4.132196716E2
1.307274875E1;2.054437561E2;3.395812683E2;1.135500031E2;4.128149439E2
1.308274875E1;2.054062653E2;3.397312622E2;1.134562531E2;4.128939158E2
1.309274875E1;2.053875122E2;3.399000244E2;1.134750061E2;4.130286113E2
1.310274875E1;2.051250153E2;3.400125122E2;1.134000015E2;4.129701450E2
1.311274875E1;2.049562531E2;3.398437500E2;1.135125046E2;4.127783046E2
1.312274875E1;2.049375153E2;3.402000122E2;1.135875015E2;4.130829868E2
1.313274875E1;2.049562531E2;3.401812744E2;1.135500031E2;4.130665422E2
1.314274875E1;2.049750061E2;3.404062500E2;1.136250076E2;4.132817568E2
1.315274875E1;2.050125122E2;3.405937500E2;1.139062576E2;4.135321852E2
1.316274875E1;2.051250153E2;3.407625122E2;1.141500015E2;4.137941329E2
1.317274875E1;2.052000122E2;3.406500244E2;1.141875076E2;4.137490436E2
1.318274875E1;2.052562561E2;3.406687622E2;1.143562546E2;4.138389653E2
1.319274875E1;2.051250153E2;3.406312561E2;1.142625046E2;4.137171068E2
1.320274875E1;2.049937592E2;3.404437561E2;1.139625015E2;4.134148572E2
1.321274875E1;2.048812561E2;3.406125183E2;1.140375061E2;4.135187656E2
1.322274875E1;2.048812561E2;3.405187683E2;1.138500061E2;4.133898699E2
1.323274875E1;2.048437653E2;3.403875122E2;1.140187531E2;4.133096934E2
1.324274875E1;2.048250122E2;3.403500061E2;1.139625015E2;4.132539946E2
1.325274875E1;2.049562531E2;3.402562561E2;1.140187531E2;4.132573793E2
1.326274875E1;2.050312653E2;3.402000122E2;1.140562515E2;4.132586316E2
1.327274875E1;2.053312531E2;3.402750244E2;1.142625046E2;4.135262213E2
1.328274875E1;2.052750092E2;3.401437683E2;1.143937531E2;4.134265875E2
1.329274875E1;2.052562561E2;3.401062622E2;1.140000076E2;4.132776331E2
1.330274875E1;2.052187653E2;3.399562683E2;1.140000076E2;4.131355803E2
1.331274875E1;2.052750092E2;3.399937744E2;1.137000046E2;4.131117126E2
1.332274875E1;2.050875092E2;3.399562683E2;1.137187576E2;4.129928651E2
1.333274875E1;2.048062592E2;3.398437500E2;1.137187576E2;4.127606256E2
1.334274875E1;2.046750031E2;3.398812561E2;1.136250076E2;4.127005785E2
1.335274875E1;2.045062561E2;3.399937744E2;1.135875015E2;4.126992803E2
1.336274875E1;2.045062561E2;3.399000244E2;1.137937546E2;4.126788751E2
1.337274875E1;2.045062561E2;3.398812561E2;1.140000076E2;4.127203397E2
1.338274875E1;2.045437622E2;3.399750061E2;1.141500015E2;4.128575763E2
1.339274875E1;2.045812531E2;3.399750061E2;1.143375015E2;4.129280302E2
1.340274875E1;2.047875061E2;3.399562683E2;1.144312515E2;4.130407950E2
1.341274875E1;2.049000092E2;3.398812561E2;1.144500046E2;4.130400532E2
1.342274875E1;2.050125122E2;3.398250122E2;1.143937531E2;4.130340178E2
1.343274875E1;2.050500031E2;3.397125244E2;1.143750076E2;4.129548951E2
1.344274875E1;2.051062622E2;3.399000244E2;1.143375015E2;4.131266993E2
1.345274875E1;2.051062622E2;3.400312500E2;1.143937531E2;4.132502396E2
1.346274875E1;2.050687561E2;3.399562683E2;1.143375015E2;4.131543578E2
1.347274875E1;2.050875092E2;3.399937744E2;1.144500046E2;4.132256727E2
1.348274875E1;2.052187653E2;3.399562683E2;1.144687576E2;4.132651721E2
1.349274875E1;2.053312531E2;3.400312500E2;1.145437546E2;4.134034908E2
1.350274875E1;2.052000122E2;3.400125122E2;1.145625076E2;4.133281041E2
1.351274875E1;2.050500031E2;3.400875244E2;1.145437546E2;4.133101738E2
1.352274875E1;2.050125122E2;3.400687561E2;1.147687531E2;4.133385485E2
1.353274875E1;2.049375153E2;3.399937744E2;1.147875061E2;4.132448709E2
1.354274875E1;2.049937592E2;3.401062622E2;1.146562576E2;4.133288864E2
1.355274875E1;2.050125122E2;3.400125122E2;1.145062561E2;4.132194590E2
1.356274875E1;2.048812561E2;3.400125122E2;1.145062561E2;4.131543540E2
1.357274875E1;2.048812561E2;3.402000122E2;1.144500046E2;4.132930933E2
1.358274875E1;2.049187622E2;3.402000122E2;1.144500046E2;4.133116874E2
1.359274875E1;2.052187653E2;3.399937744E2;1.143750076E2;4.132700698E2
1.360274875E1;2.051062622E2;3.400875244E2;1.141125031E2;4.132187876E2
1.361274875E1;2.053125153E2;3.400875244E2;1.141312561E2;4.133263805E2
1.362274875E1;2.052937622E2;3.402000122E2;1.143375015E2;4.134666146E2
1.363274875E1;2.053500061E2;3.402937622E2;1.142062531E2;4.135354130E2
1.364274875E1;2.054250031E2;3.404062500E2;1.141312561E2;4.136445219E2
1.365274875E1;2.054625092E2;3.403687744E2;1.141125031E2;4.136271372E2
1.366274875E1;2.054250031E2;3.402562561E2;1.140562515E2;4.135003993E2
1.367274875E1;2.053500061E2;3.404062500E2;1.141312561E2;4.136072819E2
1.368274875E1;2.054062653E2;3.402937622E2;1.142250061E2;4.135685317E2
1.369274875E1;2.054062653E2;3.401437683E2;1.140375061E2;4.133933596E2
1.370274875E1;2.055937653E2;3.400125122E2;1.138312531E2;4.133217378E2
1.371274875E1;2.055750122E2;3.400687561E2;1.139250031E2;4.133845073E2
1.372274875E1;2.056125031E2;3.401250000E2;1.140562515E2;4.134856050E2
1.373274875E1;2.055375061E2;3.402000122E2;1.138500061E2;4.134531879E2
1.374274875E1;2.056687622E2;3.404250183E2;1.139437561E2;4.137293951E2
1.375274875E1;2.055375061E2;3.404250183E2;1.138875046E2;4.136486712E2
1.376274875E1;2.053500061E2;3.405375061E2;1.139250031E2;4.136584635E2
1.377274875E1;2.053875122E2;3.407062683E2;1.140562515E2;4.138521716E2
1.378274875E1;2.049375153E2;3.408562622E2;1.140562515E2;4.137525893E2
1.379274875E1;2.045812531E2;3.408750000E2;1.139625015E2;4.135658430E2
1.380274875E1;2.044875031E2;3.407812500E2;1.138312531E2;4.134060394E2
1.381274875E1;2.043187561E2;3.407625122E2;1.140000076E2;4.133536568E2
1.382274875E1;2.043000031E2;3.406875000E2;1.140187531E2;4.132877205E2
1.383274875E1;2.043562622E2;3.405937500E2;1.139812546E2;4.132279163E2
1.384274875E1;2.046000061E2;3.406687622E2;1.138687515E2;4.133793181E2
1.385274875E1;2.045250092E2;3.405562744E2;1.137937546E2;4.132288397E2
1.386274875E1;2.047312622E2;3.405187683E2;1.136062546E2;4.132484753E2
1.387274875E1;2.050125122E2;3.404437561E2;1.136812515E2;4.133467167E2
1.388274875E1;2.050125122E2;3.404437561E2;1.134562531E2;4.132848928E2
1.389274875E1;2.052187653E2;3.403687744E2;1.133812561E2;4.133049158E2
1.390274875E1;2.052562561E2;3.404625244E2;1.132125015E2;4.133544867E2
1.391274875E1;2.052937622E2;3.405562744E2;1.132125015E2;4.134503300E2
1.392274875E1;2.051250153E2;3.401812744E2;1.130625076E2;4.130165880E2
1.393274875E1;2.051062622E2;3.402937622E2;1.131375046E2;4.131204647E2
1.394274875E1;2.053875122E2;3.400687561E2;1.133437576E2;4.131314518E2
1.395274875E1;2.053875122E2;3.400312500E2;1.131937561E2;4.130594480E2
1.396274875E1;2.054812622E2;3.399375000E2;1.133250046E2;4.130648977E2
1.397274875E1;2.054062653E2;3.399937744E2;1.133250046E2;4.130739124E2
1.398274875E1;2.051812592E2;3.400500183E2;1.133625031E2;4.130186693E2
1.399274875E1;2.051625061E2;3.397875061E2;1.133437576E2;4.127880941E2
1.400274875E1;2.050125122E2;3.400500183E2;1.133812561E2;4.129400130E2
1.401274875E1;2.047687531E2;3.399937744E2;1.135125046E2;4.128087906E2
1.402274875E1;2.046000061E2;3.400687561E2;1.136812515E2;4.128333178E2
1.403274875E1;2.044125061E2;3.401062622E2;1.136625061E2;4.127661657E2
1.404274875E1;2.043937531E2;3.401437683E2;1.139625015E2;4.128704896E2
1.405274875E1;2.045812531E2;3.399000244E2;1.137750015E2;4.127108754E2
1.406274875E1;2.046562653E2;3.396937561E2;1.137000046E2;4.125575425E2
1.407274875E1;2.047875061E2;3.399187622E2;1.139062576E2;4.128647758E2
1.408274875E1;2.051062622E2;3.399375000E2;1.140750046E2;4.130849663E2
1.409274875E1;2.053875122E2;3.399000244E2;1.141125031E2;4.132042112E2
1.410274875E1;2.053500061E2;3.399937744E2;1.141500015E2;4.132730508E2
1.411274875E1;2.056125031E2;3.398812561E2;1.145250015E2;4.134147380E2
1.412274875E1;2.054062653E2;3.396750183E2;1.142250061E2;4.130595646E2
1.413274875E1;2.051625061E2;3.399375000E2;1.145250015E2;4.132373819E2
1.414274875E1;2.052937622E2;3.399937744E2;1.146562576E2;4.133852354E2
1.415274875E1;2.052187653E2;3.400875244E2;1.144500046E2;4.133679589E2
1.416274875E1;2.051437531E2;3.400312500E2;1.143000031E2;4.132429081E2
1.417274875E1;2.049937592E2;3.401062622E2;1.141875076E2;4.131991019E2
1.418274875E1;2.048812561E2;3.400875244E2;1.140187531E2;4.130812625E2
1.419274875E1;2.049000092E2;3.403687744E2;1.136437531E2;4.132188512E2
1.420274875E1;2.049750061E2;3.404812622E2;1.136250076E2;4.133435440E2
1.421274875E1;2.050875092E2;3.404062500E2;1.136062546E2;4.133324117E2
1.422274875E1;2.048437653E2;3.405000000E2;1.137750015E2;4.133351777E2
1.423274875E1;2.049937592E2;3.404250183E2;1.136625061E2;4.133168272E2
1.424274875E1;2.051625061E2;3.402750244E2;1.137562561E2;4.133028332E2
1.425274875E1;2.051062622E2;3.403125000E2;1.137187576E2;4.132954540E2
1.426274875E1;2.052000122E2;3.403125000E2;1.137187576E2;4.133419873E2
1.427274875E1;2.050687561E2;3.402375183E2;1.140375061E2;4.133029354E2
1.428274875E1;2.049750061E2;3.403312683E2;1.142062531E2;4.133802046E2
1.429274875E1;2.048625031E2;3.402562561E2;1.141687546E2;4.132523073E2
1.430274875E1;2.048625031E2;3.401625061E2;1.140000076E2;4.131285241E2
1.431274875E1;2.045250092E2;3.401062622E2;1.141687546E2;4.129615642E2
1.432274875E1;2.044125061E2;3.401625061E2;1.142062531E2;4.129625545E2
1.433274875E1;2.043187561E2;3.401250000E2;1.141500015E2;4.128697041E2
1.434274875E1;2.041687622E2;3.401250000E2;1.140750046E2;4.127747640E2
1.435274875E1;2.042250061E2;3.399937744E2;1.137000046E2;4.125909728E2
1.436274875E1;2.044312592E2;3.399937744E2;1.136437531E2;4.126776090E2
1.437274875E1;2.047687531E2;3.400312500E2;1.136812515E2;4.128860862E2
1.438274875E1;2.049750061E2;3.402000122E2;1.135500031E2;4.130912788E2
1.439274875E1;2.050500031E2;3.403312683E2;1.135312576E2;4.132314393E2
1.440274875E1;2.049562531E2;3.403687744E2;1.136062546E2;4.132364327E2
1.441274875E1;2.051062622E2;3.404062500E2;1.136625061E2;4.133571811E2
1.442274875E1;2.053687592E2;3.403312683E2;1.137187576E2;4.134412356E2
1.443274875E1;2.053125153E2;3.402750244E2;1.140000076E2;4.134444617E2
1.444274875E1;2.051062622E2;3.403500061E2;1.140187531E2;4.134089761E2
1.445274875E1;2.051250153E2;3.404625244E2;1.138875046E2;4.134747466E2
1.446274875E1;2.050125122E2;3.402000122E2;1.139625015E2;4.132234628E2
1.447274875E1;2.051062622E2;3.399750061E2;1.138500061E2;4.130537586E2
1.448274875E1;2.052187653E2;3.400312500E2;1.136062546E2;4.130888206E2
1.449274875E1;2.052562561E2;3.399937744E2;1.135500031E2;4.130611341E2
1.450274875E1;2.053500061E2;3.400875244E2;1.133062515E2;4.131179685E2
1.451274875E1;2.053125153E2;3.400125122E2;1.131562576E2;4.129964601E2
1.452274875E1;2.054250031E2;3.401250000E2;1.131375046E2;4.131398582E2
1.453274875E1;2.051625061E2;3.401437683E2;1.131375046E2;4.130248564E2
1.454274875E1;2.051812592E2;3.402000122E2;1.130250015E2;4.130496924E2
1.455274875E1;2.050875092E2;3.402562561E2;1.129687576E2;4.130340742E2
1.456274875E1;2.049562531E2;3.400125122E2;1.130250015E2;4.127835087E2
1.457274875E1;2.050312653E2;3.399562683E2;1.131375046E2;4.128052556E2
1.458274875E1;2.048625031E2;3.399937744E2;1.129875031E2;4.127112643E2
1.459274875E1;2.048625031E2;3.401437683E2;1.124625015E2;4.126914617E2
1.460274875E1;2.049937592E2;3.400687561E2;1.120125046E2;4.125724195E2
1.461274875E1;2.049375153E2;3.400125122E2;1.115062561E2;4.123609326E2
1.462274875E1;2.047125092E2;3.402000122E2;1.112812576E2;4.123430344E2
1.463274875E1;2.047687531E2;3.402000122E2;1.109437561E2;4.122800111E2
1.464274875E1;2.049000092E2;3.405000000E2;1.105875015E2;4.124971021E2
1.465274875E1;2.046750031E2;3.407062683E2;1.101187515E2;4.124303063E2
1.466274875E1;2.047875061E2;3.407062683E2;1.100250015E2;4.124611314E2
1.467274875E1;2.048437653E2;3.407250061E2;1.101375046E2;4.125345657E2
1.468274875E1;2.046562653E2;3.407062683E2;1.098187561E2;4.123410086E2
1.469274875E1;2.046750031E2;3.407250061E2;1.097437515E2;4.123458229E2
1.470274875E1;2.049562531E2;3.406500244E2;1.098750076E2;4.124585095E2
1.471274875E1;2.052000122E2;3.408937683E2;1.098937531E2;4.127859533E2
1.472274875E1;2.052937622E2;3.408937683E2;1.098000031E2;4.128076195E2
1.473274875E1;2.054625092E2;3.406875000E2;1.098375015E2;4.127312589E2
1.474274875E1;2.055937653E2;3.406875000E2;1.098187561E2;4.127916280E2
1.475274875E1;2.054625092E2;3.408187561E2;1.098375015E2;4.128396104E2
1.476274875E1;2.056500092E2;3.410062561E2;1.099125061E2;4.131076760E2
1.477274875E1;2.055000153E2;3.408937683E2;1.099875031E2;4.129601293E2
1.478274875E1;2.054812622E2;3.410625000E2;1.096312561E2;4.129953878E2
1.479274875E1;2.050875092E2;3.408937683E2;1.097062531E2;4.126801542E2
1.480274875E1;2.047875061E2;3.409312744E2;1.098000031E2;4.125870783E2
1.481274875E1;2.048437653E2;3.409312744E2;1.096687546E2;4.125800986E2
1.482274875E1;2.045437622E2;3.410812683E2;1.097812576E2;4.125851509E2
1.483274875E1;2.045812531E2;3.411375122E2;1.098375015E2;4.126652010E2
1.484274875E1;2.044500122E2;3.407625122E2;1.101375046E2;4.123701822E2
1.485274875E1;2.046375122E2;3.409312744E2;1.100812531E2;4.125875998E2
1.486274875E1;2.046375122E2;3.405562744E2;1.102312546E2;4.123178591E2
1.487274875E1;2.049562531E2;3.408750000E2;1.101000061E2;4.127043041E2
1.488274875E1;2.050500031E2;3.407812500E2;1.101937561E2;4.126984710E2
1.489274875E1;2.048812561E2;3.408562622E2;1.104000015E2;4.127317300E2
1.490274875E1;2.050500031E2;3.406125183E2;1.103437576E2;4.125992441E2
1.491274875E1;2.050687561E2;3.405000000E2;1.102687531E2;4.124956274E2
1.492274875E1;2.049937592E2;3.406125183E2;1.102687531E2;4.125512415E2
1.493274875E1;2.051250153E2;3.404812622E2;1.105687561E2;4.125884289E2
1.494274875E1;2.050125122E2;3.405937500E2;1.104562531E2;4.125952212E2
1.495274875E1;2.047500153E2;3.405750122E2;1.106812515E2;4.125096934E2
1.496274875E1;2.046562653E2;3.405187683E2;1.105687561E2;4.123865520E2
1.497274875E1;2.047500153E2;3.404250183E2;1.103812561E2;4.123054493E2
1.498274875E1;2.046375122E2;3.405562744E2;1.102125015E2;4.123128460E2
1.499274875E1;2.046937561E2;3.407437744E2;1.103062515E2;4.125206937E2
1.500274875E1;2.047875061E2;3.409312744E2;1.101750031E2;4.126870338E2
1.501274875E1;2.045625153E2;3.410250244E2;1.102125015E2;4.126629198E2
1.502274875E1;2.046187592E2;3.410250244E2;1.103250046E2;4.127208627E2
1.503274875E1;2.048437653E2;3.407062683E2;1.101937561E2;4.125341117E2
1.504274875E1;2.047312622E2;3.407812500E2;1.101375046E2;4.125251750E2
1.505274875E1;2.048250122E2;3.407812500E2;1.103250046E2;4.126218034E2
1.506274875E1;2.049375153E2;3.409312744E2;1.105312576E2;4.128567281E2
1.507274875E1;2.049375153E2;3.405937500E2;1.104937515E2;4.125680027E2
1.508274875E1;2.049562531E2;3.405937500E2;1.106437531E2;4.126175085E2
1.509274875E1;2.049562531E2;3.405000000E2;1.105875015E2;4.125250431E2
1.510274875E1;2.049000092E2;3.405375061E2;1.106812515E2;4.125532041E2
1.511274875E1;2.047687531E2;3.407625122E2;1.105687561E2;4.126436499E2
1.512274875E1;2.050875092E2;3.407625122E2;1.106812515E2;4.128320670E2
1.513274875E1;2.049562531E2;3.408937683E2;1.107187576E2;4.128852991E2
