"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
6.927487510E-1;2.047875061E2;3.399750061E2;1.144125061E2;4.130510247E2
7.027487510E-1;2.047687531E2;3.398250122E2;1.143937531E2;4.129130803E2
7.127487510E-1;2.046750031E2;3.397875061E2;1.146750031E2;4.129137471E2
7.227487510E-1;2.046375122E2;3.398250122E2;1.146562576E2;4.129208250E2
7.327487510E-1;2.047500153E2;3.398437500E2;1.146000061E2;4.129763971E2
7.427487510E-1;2.046562653E2;3.398062744E2;1.144875031E2;4.128678716E2
7.527487510E-1;2.049187622E2;3.398250122E2;1.144312515E2;4.129978806E2
7.627487510E-1;2.050500031E2;3.398062744E2;1.144687576E2;4.130579915E2
7.727487510E-1;2.049187622E2;3.398812561E2;1.145062561E2;4.130649465E2
7.827487510E-1;2.051062622E2;3.400125122E2;1.146750031E2;4.133127673E2
7.927487510E-1;2.051812592E2;3.401812744E2;1.147125015E2;4.134992220E2
8.027487510E-1;2.051437531E2;3.402187500E2;1.148062515E2;4.135374622E2
8.127487510E-1;2.051250153E2;3.401062622E2;1.147687531E2;4.134252147E2
8.227487510E-1;2.052750092E2;3.399750061E2;1.147875061E2;4.133969106E2
8.327487510E-1;2.052187653E2;3.400312500E2;1.146375046E2;4.133736204E2
8.427487510E-1;2.052375031E2;3.400500183E2;1.147687531E2;4.134347763E2
8.527487510E-1;2.051250153E2;3.399375000E2;1.145625076E2;4.132291664E2
8.627487510E-1;2.049375153E2;3.397687683E2;1.145250015E2;4.129868970E2
8.727487510E-1;2.048812561E2;3.396937561E2;1.145062561E2;4.128920679E2
8.827487510E-1;2.049000092E2;3.397125244E2;1.144312515E2;4.128960212E2
8.927487510E-1;2.048250122E2;3.397125244E2;1.143187561E2;4.128276431E2
9.027487510E-1;2.048250122E2;3.397125244E2;1.142250061E2;4.128016920E2
9.127487510E-1;2.049000092E2;3.396937561E2;1.143937531E2;4.128701883E2
9.227487510E-1;2.049000092E2;3.397875061E2;1.142062531E2;4.128954242E2
9.327487510E-1;2.050312653E2;3.400500183E2;1.143937531E2;4.132284664E2
9.427487510E-1;2.049187622E2;3.402187500E2;1.142812576E2;4.132804167E2
9.527487510E-1;2.047125092E2;3.404250183E2;1.141500015E2;4.133117798E2
9.627487510E-1;2.046000061E2;3.403125000E2;1.141312561E2;4.131582067E2
9.727487510E-1;2.047875061E2;3.404062500E2;1.143937531E2;4.134008568E2
9.827487510E-1;2.044500122E2;3.405750122E2;1.144687576E2;4.133935690E2
9.927487510E-1;2.042250061E2;3.405562744E2;1.142437515E2;4.132046272E2
1.002748751E0;2.042812653E2;3.404625244E2;1.142062531E2;4.131448101E2
1.012748751E0;2.043937531E2;3.402562561E2;1.141875076E2;4.130253176E2
1.022748751E0;2.045250092E2;3.402000122E2;1.144312515E2;4.131114123E2
1.032748751E0;2.046937561E2;3.399375000E2;1.142812576E2;4.129373361E2
1.042748751E0;2.049187622E2;3.400312500E2;1.144687576E2;4.131779841E2
1.052748751E0;2.047500153E2;3.397687683E2;1.143937531E2;4.128575001E2
1.062748751E0;2.050312653E2;3.398250122E2;1.144312515E2;4.130537132E2
1.072748751E0;2.053312531E2;3.399000244E2;1.144687576E2;4.132747833E2
1.082748751E0;2.052000122E2;3.398625183E2;1.145625076E2;4.132047247E2
1.092748751E0;2.052187653E2;3.399562683E2;1.146000061E2;4.133015453E2
1.102748751E0;2.052375031E2;3.400125122E2;1.142625046E2;4.132636702E2
1.112748751E0;2.055937653E2;3.402375183E2;1.144500046E2;4.136776145E2
1.122748751E0;2.054437561E2;3.402187500E2;1.140000076E2;4.134633436E2
1.132748751E0;2.055937653E2;3.405375061E2;1.140937576E2;4.138260201E2
1.142748751E0;2.055000153E2;3.405375061E2;1.141875076E2;4.138053120E2
1.152748751E0;2.053500061E2;3.405562744E2;1.145250015E2;4.138395547E2
1.162748751E0;2.052562561E2;3.407437744E2;1.144875031E2;4.139369986E2
1.172748751E0;2.053500061E2;3.405562744E2;1.145437546E2;4.138447448E2
1.182748751E0;2.055375061E2;3.404625244E2;1.149375076E2;4.139698390E2
1.192748751E0;2.052937622E2;3.402000122E2;1.151250076E2;4.136850789E2
1.202748751E0;2.054062653E2;3.401437683E2;1.155000076E2;4.137991888E2
1.212748751E0;2.053125153E2;3.399562683E2;1.154062576E2;4.135723608E2
1.222748751E0;2.052187653E2;3.396750183E2;1.154625015E2;4.133103543E2
1.232748751E0;2.052000122E2;3.395437622E2;1.150500031E2;4.130780975E2
1.242748751E0;2.053500061E2;3.393375244E2;1.152000046E2;4.130249648E2
1.252748751E0;2.052000122E2;3.393750000E2;1.151625061E2;4.129707477E2
1.262748751E0;2.051625061E2;3.392250061E2;1.149187546E2;4.127609221E2
1.272748751E0;2.051062622E2;3.394125061E2;1.146562576E2;4.128141053E2
1.282748751E0;2.050312653E2;3.394500122E2;1.145437546E2;4.127764555E2
1.292748751E0;2.048625031E2;3.393375244E2;1.145625076E2;4.126053427E2
1.302748751E0;2.049562531E2;3.395250244E2;1.145062561E2;4.127904923E2
1.312748751E0;2.049000092E2;3.396187744E2;1.148437576E2;4.129334261E2
1.322748751E0;2.050125122E2;3.397500000E2;1.150125046E2;4.131441260E2
1.332748751E0;2.049937592E2;3.397875061E2;1.147125015E2;4.130822540E2
1.342748751E0;2.050125122E2;3.399187622E2;1.146937561E2;4.131943281E2
1.352748751E0;2.050125122E2;3.398625183E2;1.147875061E2;4.131740954E2
1.362748751E0;2.049000092E2;3.398062744E2;1.147687531E2;4.130668040E2
1.372748751E0;2.051250153E2;3.400875244E2;1.146375046E2;4.133733828E2
1.382748751E0;2.051250153E2;3.400875244E2;1.145812531E2;4.133577865E2
1.392748751E0;2.050687561E2;3.399937744E2;1.145812531E2;4.132527373E2
1.402748751E0;2.049937592E2;3.399000244E2;1.142062531E2;4.130345459E2
1.412748751E0;2.052375031E2;3.398437500E2;1.143562546E2;4.131507716E2
