"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1740664338.311;"2025-02-27 14:52:18.311 UTC+01:00"
"PAUSE";5.560599826E1;1740664393.917;"2025-02-27 14:53:13.917 UTC+01:00"
